address_hex,address_dec,result_type,value_or_code
0x0203,515,VALUE,0
0x0204,516,VALUE,0
0x0205,517,VALUE,0
0x0206,518,VALUE,0
0x0207,519,VALUE,0
0x0208,520,VALUE,0
0x0209,521,VALUE,0
0x020A,522,VALUE,0
0x020B,523,VALUE,65535
0x020C,524,VALUE,65535
0x020D,525,VALUE,65535
0x020E,526,VALUE,65535
0x020F,527,VALUE,65535
0x0210,528,VALUE,65535
0x0211,529,VALUE,6691
0x0212,530,VALUE,3245
0x0213,531,VALUE,4505
0x0214,532,VALUE,64259
0x0215,533,VALUE,0
0x0216,534,VALUE,0
0x0217,535,VALUE,59761
0x0218,536,VALUE,0
0x0219,537,VALUE,9
0x021A,538,VALUE,32767
0x021B,539,VALUE,12920
0x021C,540,VALUE,0
0x021D,541,VALUE,32
0x021E,542,VALUE,2
0x021F,543,VALUE,0
0x0220,544,VALUE,2372
0x0221,545,VALUE,870
0x0222,546,VALUE,4999
0x0223,547,VALUE,65533
0x0224,548,VALUE,63482
0x0225,549,VALUE,2073
0x0226,550,VALUE,1000
0x0227,551,VALUE,2347
0x0228,552,VALUE,883
0x0229,553,VALUE,4998
0x022A,554,VALUE,65530
0x022B,555,VALUE,63483
0x022C,556,VALUE,2084
0x022D,557,VALUE,1000
0x022E,558,VALUE,2384
0x022F,559,VALUE,866
0x0230,560,VALUE,4999
0x0231,561,VALUE,65524
0x0232,562,VALUE,63502
0x0233,563,VALUE,2058
0x0234,564,VALUE,64536
0x0235,565,VALUE,2356
0x0236,566,VALUE,874
0x0237,567,VALUE,5000
0x0238,568,VALUE,63488
0x0239,569,VALUE,2056
0x023A,570,VALUE,2354
0x023B,571,VALUE,878
0x023C,572,VALUE,4987
0x023D,573,VALUE,63486
0x023E,574,VALUE,2068
0x023F,575,VALUE,2359
0x0240,576,VALUE,863
0x0241,577,VALUE,5000
0x0242,578,VALUE,63491
0x0243,579,VALUE,2053
0x0244,580,VALUE,2355
0x0245,581,VALUE,0
0x0246,582,VALUE,4998
0x0247,583,VALUE,1
0x0248,584,VALUE,0
0x0249,585,VALUE,7
0x024A,586,VALUE,2348
0x024B,587,VALUE,0
0x024C,588,VALUE,4998
0x024D,589,VALUE,0
